,order,Data,Time,Home,Score,Away,Venue,Season,Home Score,Away Score,Date
207,207,Sun 17 Oct,15:00,Sale Sharks,9-13,Northampton Saints,Heywood Road,1999-2000,9,13,Sun 17 Oct 1999
208,208,Sun 17 Oct,15:00,Saracens,55-6,Newcastle Falcons,Vicarage Road,1999-2000,55,6,Sun 17 Oct 1999
209,209,Sat 23 Oct,13:00,Leicester Tigers,36-19,Bristol Shoguns,Welford Road,1999-2000,36,19,Sat 23 Oct 1999
210,210,Thu 28 Oct,15:00,NEC Harlequins,36-20,Bristol Shoguns,Twickenham Stoop,1999-2000,36,20,Thu 28 Oct 1999
211,211,Fri 29 Oct,19:45,Sale Sharks,12-58,Saracens,Heywood Road,1999-2000,12,58,Fri 29 Oct 1999
212,212,Sat 30 Oct,13:00,Bath Rugby,25-25,London Irish,Recreation Ground,1999-2000,25,25,Sat 30 Oct 1999
213,213,Sat 30 Oct,13:00,Leicester Tigers,61-12,Bedford Blues,Welford Road,1999-2000,61,12,Sat 30 Oct 1999
214,214,Sat 30 Oct,15:00,Northampton Saints,9-25,Gloucester,Franklin's Gardens,1999-2000,9,25,Sat 30 Oct 1999
215,215,Sat 30 Oct,19:30,London Wasps,19-19,Newcastle Falcons,Loftus Road,1999-2000,19,19,Sat 30 Oct 1999
216,216,Fri 5 Nov,19:30,Gloucester,35-14,Sale Sharks,Kingsholm,1999-2000,35,14,Fri 5 Nov 1999
217,217,Fri 5 Nov,19:30,Newcastle Falcons,12-12,Leicester Tigers,Kingston Park,1999-2000,12,12,Fri 5 Nov 1999
218,218,Fri 5 Nov,20:00,Bristol Shoguns,19-29,Northampton Saints,Memorial Stadium,1999-2000,19,29,Fri 5 Nov 1999
219,219,Sat 6 Nov,12:00,Bedford Blues,24-28,Bath Rugby,Goldington Road,1999-2000,24,28,Sat 6 Nov 1999
220,220,Sun 7 Nov,15:00,Saracens,27-26,London Wasps,Vicarage Road,1999-2000,27,26,Sun 7 Nov 1999
221,221,Sun 7 Nov,15:05,London Irish,16-17,NEC Harlequins,Twickenham Stoop,1999-2000,16,17,Sun 7 Nov 1999
222,222,Sat 13 Nov,14:15,Bath Rugby,45-12,Newcastle Falcons,Recreation Ground,1999-2000,45,12,Sat 13 Nov 1999
223,223,Sat 13 Nov,15:00,Leicester Tigers,28-9,London Wasps,Welford Road,1999-2000,28,9,Sat 13 Nov 1999
224,224,Sat 13 Nov,15:00,NEC Harlequins,11-10,Bedford Blues,Twickenham Stoop,1999-2000,11,10,Sat 13 Nov 1999
225,225,Sat 13 Nov,15:00,Northampton Saints,24-19,London Irish,Franklin's Gardens,1999-2000,24,19,Sat 13 Nov 1999
226,226,Sat 13 Nov,16:00,Sale Sharks,15-40,Bristol Shoguns,Heywood Road,1999-2000,15,40,Sat 13 Nov 1999
227,227,Sun 14 Nov,15:00,Gloucester,22-19,Saracens,Kingsholm,1999-2000,22,19,Sun 14 Nov 1999
228,228,Sat 4 Dec,15:00,Bedford Blues,17-41,Northampton Saints,Goldington Road,1999-2000,17,41,Sat 4 Dec 1999
229,229,Sat 4 Dec,15:00,Bristol Shoguns,25-38,Gloucester,Memorial Stadium,1999-2000,25,38,Sat 4 Dec 1999
230,230,Sat 4 Dec,15:00,London Irish,26-3,Sale Sharks,Twickenham Stoop,1999-2000,26,3,Sat 4 Dec 1999
231,231,Sun 5 Dec,15:00,London Wasps,23-21,Bath Rugby,Loftus Road,1999-2000,23,21,Sun 5 Dec 1999
232,232,Sun 5 Dec,15:00,Newcastle Falcons,15-16,NEC Harlequins,Kingston Park,1999-2000,15,16,Sun 5 Dec 1999
233,233,Sun 5 Dec,18:30,Saracens,36-20,Leicester Tigers,Vicarage Road,1999-2000,36,20,Sun 5 Dec 1999
234,234,Thu 23 Dec,19:00,NEC Harlequins,16-52,London Wasps,Twickenham Stoop,1999-2000,16,52,Thu 23 Dec 1999
235,235,Sun 26 Dec,14:15,Bath Rugby,3-13,Leicester Tigers,Recreation Ground,1999-2000,3,13,Sun 26 Dec 1999
236,236,Sun 26 Dec,15:00,Gloucester,40-15,London Irish,Kingsholm,1999-2000,40,15,Sun 26 Dec 1999
237,237,Sun 26 Dec,15:00,Northampton Saints,37-5,Newcastle Falcons,Franklin's Gardens,1999-2000,37,5,Sun 26 Dec 1999
238,238,Sun 26 Dec,15:00,Sale Sharks,22-3,Bedford Blues,Heywood Road,1999-2000,22,3,Sun 26 Dec 1999
239,239,Mon 27 Dec,13:00,Bristol Shoguns,45-22,Saracens,Memorial Stadium,1999-2000,45,22,Mon 27 Dec 1999
240,240,Wed 29 Dec,15:00,Leicester Tigers,29-17,NEC Harlequins,Welford Road,1999-2000,29,17,Wed 29 Dec 1999
241,241,Wed 29 Dec,19:30,London Irish,35-21,Bristol Shoguns,Twickenham Stoop,1999-2000,35,21,Wed 29 Dec 1999
242,242,Wed 29 Dec,19:30,Newcastle Falcons,12-6,Sale Sharks,Kingston Park,1999-2000,12,6,Wed 29 Dec 1999
243,243,Wed 29 Dec,19:45,London Wasps,15-21,Northampton Saints,Loftus Road,1999-2000,15,21,Wed 29 Dec 1999
244,244,Thu 30 Dec,15:00,Bedford Blues,6-18,Gloucester,Goldington Road,1999-2000,6,18,Thu 30 Dec 1999
245,245,Thu 30 Dec,15:00,Saracens,19-6,Bath Rugby,Vicarage Road,1999-2000,19,6,Thu 30 Dec 1999
246,246,Sat 22 Jan,14:00,Gloucester,29-23,Bristol Shoguns,Kingsholm,1999-2000,29,23,Sat 22 Jan 2000
247,247,Sat 22 Jan,14:15,Bath Rugby,27-16,London Wasps,Recreation Ground,1999-2000,27,16,Sat 22 Jan 2000
248,248,Sat 22 Jan,15:00,Leicester Tigers,48-20,Saracens,Welford Road,1999-2000,48,20,Sat 22 Jan 2000
249,249,Sat 22 Jan,15:00,NEC Harlequins,12-15,Newcastle Falcons,Twickenham Stoop,1999-2000,12,15,Sat 22 Jan 2000
250,250,Sat 22 Jan,15:00,Northampton Saints,38-16,Bedford Blues,Franklin's Gardens,1999-2000,38,16,Sat 22 Jan 2000
251,251,Sun 23 Jan,14:00,Sale Sharks,24-31,London Irish,Heywood Road,1999-2000,24,31,Sun 23 Jan 2000
252,252,Tue 25 Jan,19:30,Bedford Blues,25-28,NEC Harlequins,Goldington Road,1999-2000,25,28,Tue 25 Jan 2000
253,253,Tue 25 Jan,19:30,Newcastle Falcons,16-20,Bath Rugby,Kingston Park,1999-2000,16,20,Tue 25 Jan 2000
254,254,Tue 25 Jan,19:45,Saracens,35-21,Gloucester,Vicarage Road,1999-2000,35,21,Tue 25 Jan 2000
255,255,Tue 25 Jan,20:00,London Wasps,20-29,Leicester Tigers,Loftus Road,1999-2000,20,29,Tue 25 Jan 2000
256,256,Wed 26 Jan,19:30,London Irish,20-44,Northampton Saints,Twickenham Stoop,1999-2000,20,44,Wed 26 Jan 2000
257,257,Sat 12 Feb,14:00,Northampton Saints,19-23,Bristol Shoguns,Franklin's Gardens,1999-2000,19,23,Sat 12 Feb 2000
258,258,Sat 12 Feb,15:00,Bath Rugby,32-22,Bedford Blues,Recreation Ground,1999-2000,32,22,Sat 12 Feb 2000
259,259,Sat 12 Feb,15:00,Leicester Tigers,34-26,Newcastle Falcons,Welford Road,1999-2000,34,26,Sat 12 Feb 2000
260,260,Sat 12 Feb,15:00,NEC Harlequins,14-39,London Irish,Twickenham Stoop,1999-2000,14,39,Sat 12 Feb 2000
261,261,Sat 12 Feb,15:00,Sale Sharks,13-31,Gloucester,Heywood Road,1999-2000,13,31,Sat 12 Feb 2000
262,262,Sun 13 Feb,15:00,London Wasps,41-17,Saracens,Loftus Road,1999-2000,41,17,Sun 13 Feb 2000
263,263,Sun 27 Feb,15:00,Newcastle Falcons,23-20,Bedford Blues,Kingston Park,1999-2000,23,20,Sun 27 Feb 2000
264,264,Wed 8 Mar,19:30,Bristol Shoguns,35-16,Sale Sharks,Memorial Stadium,1999-2000,35,16,Wed 8 Mar 2000
265,265,Sat 11 Mar,14:00,Gloucester,11-35,Northampton Saints,Kingsholm,1999-2000,11,35,Sat 11 Mar 2000
266,266,Sat 11 Mar,15:00,Bedford Blues,22-32,Leicester Tigers,Goldington Road,1999-2000,22,32,Sat 11 Mar 2000
267,267,Sat 11 Mar,15:00,Bristol Shoguns,42-39,NEC Harlequins,Memorial Stadium,1999-2000,42,39,Sat 11 Mar 2000
268,268,Sat 11 Mar,15:00,London Irish,16-64,Bath Rugby,Twickenham Stoop,1999-2000,16,64,Sat 11 Mar 2000
269,269,Sun 12 Mar,15:00,Newcastle Falcons,8-34,London Wasps,Kingston Park,1999-2000,8,34,Sun 12 Mar 2000
270,270,Sun 12 Mar,15:00,Saracens,56-28,Sale Sharks,Vicarage Road,1999-2000,56,28,Sun 12 Mar 2000
271,271,Sat 25 Mar,14:15,Bath Rugby,39-13,Bristol Shoguns,Recreation Ground,1999-2000,39,13,Sat 25 Mar 2000
272,272,Sat 25 Mar,15:00,Leicester Tigers,41-16,London Irish,Welford Road,1999-2000,41,16,Sat 25 Mar 2000
273,273,Sat 25 Mar,15:00,NEC Harlequins,24-38,Gloucester,Twickenham Stoop,1999-2000,24,38,Sat 25 Mar 2000
274,274,Sat 25 Mar,15:00,Northampton Saints,26-7,Sale Sharks,Franklin's Gardens,1999-2000,26,7,Sat 25 Mar 2000
275,275,Sun 26 Mar,15:00,London Wasps,62-8,Bedford Blues,Loftus Road,1999-2000,62,8,Sun 26 Mar 2000
276,276,Sun 26 Mar,15:00,Newcastle Falcons,15-6,Saracens,Kingston Park,1999-2000,15,6,Sun 26 Mar 2000
277,277,Sat 8 Apr,15:00,Bedford Blues,32-22,Newcastle Falcons,Goldington Road,1999-2000,32,22,Sat 8 Apr 2000
278,278,Sat 8 Apr,15:00,Gloucester,16-36,Bath Rugby,Kingsholm,1999-2000,16,36,Sat 8 Apr 2000
279,279,Sat 8 Apr,15:00,Sale Sharks,36-20,NEC Harlequins,Heywood Road,1999-2000,36,20,Sat 8 Apr 2000
280,280,Sat 15 Apr,14:15,Bath Rugby,36-6,Sale Sharks,Recreation Ground,1999-2000,36,6,Sat 15 Apr 2000
281,281,Sun 16 Apr,15:00,Bedford Blues,29-57,Saracens,Goldington Road,1999-2000,29,57,Sun 16 Apr 2000
282,282,Tue 18 Apr,19:30,Newcastle Falcons,28-23,London Irish,Kingston Park,1999-2000,28,23,Tue 18 Apr 2000
283,283,Tue 18 Apr,19:45,Leicester Tigers,24-13,Gloucester,Welford Road,1999-2000,24,13,Tue 18 Apr 2000
284,284,Wed 19 Apr,19:30,NEC Harlequins,29-17,Northampton Saints,Twickenham Stoop,1999-2000,29,17,Wed 19 Apr 2000
285,285,Wed 19 Apr,19:45,London Wasps,25-31,Bristol Shoguns,Loftus Road,1999-2000,25,31,Wed 19 Apr 2000
286,286,Sat 22 Apr,15:00,Gloucester,26-12,London Wasps,Kingsholm,1999-2000,26,12,Sat 22 Apr 2000
287,287,Sat 22 Apr,15:00,London Irish,33-23,Bedford Blues,Twickenham Stoop,1999-2000,33,23,Sat 22 Apr 2000
288,288,Sat 22 Apr,15:00,Northampton Saints,13-17,Bath Rugby,Franklin's Gardens,1999-2000,13,17,Sat 22 Apr 2000
289,289,Sat 22 Apr,15:00,Sale Sharks,13-48,Leicester Tigers,Heywood Road,1999-2000,13,48,Sat 22 Apr 2000
290,290,Sun 23 Apr,15:00,Bristol Shoguns,30-11,Newcastle Falcons,Memorial Stadium,1999-2000,30,11,Sun 23 Apr 2000
291,291,Mon 24 Apr,15:00,Saracens,50-10,NEC Harlequins,Vicarage Road,1999-2000,50,10,Mon 24 Apr 2000
292,292,Wed 26 Apr,19:30,Bedford Blues,7-21,London Wasps,Goldington Road,1999-2000,7,21,Wed 26 Apr 2000
293,293,Sat 29 Apr,15:00,Bath Rugby,77-19,NEC Harlequins,Recreation Ground,1999-2000,77,19,Sat 29 Apr 2000
294,294,Sat 29 Apr,15:00,Bedford Blues,19-57,Bristol Shoguns,Goldington Road,1999-2000,19,57,Sat 29 Apr 2000
295,295,Sat 29 Apr,15:00,Leicester Tigers,26-21,Northampton Saints,Welford Road,1999-2000,26,21,Sat 29 Apr 2000
296,296,Sat 29 Apr,15:00,London Irish,27-41,Saracens,Twickenham Stoop,1999-2000,27,41,Sat 29 Apr 2000
297,297,Sun 30 Apr,15:00,London Wasps,58-5,Sale Sharks,Loftus Road,1999-2000,58,5,Sun 30 Apr 2000
298,298,Sun 30 Apr,15:00,Newcastle Falcons,36-28,Gloucester,Kingston Park,1999-2000,36,28,Sun 30 Apr 2000
299,299,Sat 6 May,15:00,Bath Rugby,40-27,Saracens,Recreation Ground,1999-2000,40,27,Sat 6 May 2000
300,300,Sat 6 May,15:00,Gloucester,60-16,Bedford Blues,Kingsholm,1999-2000,60,16,Sat 6 May 2000
301,301,Sat 6 May,15:00,NEC Harlequins,5-54,Leicester Tigers,Twickenham Stoop,1999-2000,5,54,Sat 6 May 2000
302,302,Sat 6 May,15:00,Sale Sharks,45-17,Newcastle Falcons,Heywood Road,1999-2000,45,17,Sat 6 May 2000
303,303,Tue 9 May,15:00,Northampton Saints,12-54,London Wasps,Franklin's Gardens,1999-2000,12,54,Tue 9 May 2000
304,304,Wed 10 May,20:00,Bristol Shoguns,28-26,London Irish,Memorial Stadium,1999-2000,28,26,Wed 10 May 2000
305,305,Sun 14 May,15:00,Bedford Blues,37-50,Sale Sharks,Goldington Road,1999-2000,37,50,Sun 14 May 2000
306,306,Sun 14 May,15:00,Bristol Shoguns,23-30,Leicester Tigers,Memorial Stadium,1999-2000,23,30,Sun 14 May 2000
307,307,Wed 17 May,19:45,London Irish,45-24,London Wasps,Twickenham Stoop,1999-2000,45,24,Wed 17 May 2000
308,308,Wed 17 May,19:45,Saracens,29-24,Northampton Saints,Vicarage Road,1999-2000,29,24,Wed 17 May 2000
309,309,Sat 20 May,15:00,London Irish,40-42,Gloucester,Twickenham Stoop,1999-2000,40,42,Sat 20 May 2000
310,310,Sun 21 May,15:00,Leicester Tigers,43-25,Bath Rugby,Welford Road,1999-2000,43,25,Sun 21 May 2000
311,311,Sun 21 May,15:00,London Wasps,35-32,NEC Harlequins,Loftus Road,1999-2000,35,32,Sun 21 May 2000
312,312,Sun 21 May,15:00,Newcastle Falcons,23-32,Northampton Saints,Kingston Park,1999-2000,23,32,Sun 21 May 2000
313,313,Sun 21 May,15:00,Saracens,37-10,Bristol Shoguns,Vicarage Road,1999-2000,37,10,Sun 21 May 2000
314,314,Sat 19 Aug,14:00,London Wasps,22-24,Leicester Tigers,Loftus Road,2000-2001,22,24,Sat 19 Aug 2001
315,315,Sat 19 Aug,15:00,NEC Harlequins,16-22,London Irish,Twickenham Stoop,2000-2001,16,22,Sat 19 Aug 2001
316,316,Sat 19 Aug,15:00,Sale Sharks,33-32,Bath Rugby,Heywood Road,2000-2001,33,32,Sat 19 Aug 2001
317,317,Sun 20 Aug,14:30,Newcastle Falcons,27-21,Northampton Saints,Kingston Park,2000-2001,27,21,Sun 20 Aug 2001
318,318,Sun 20 Aug,15:00,Rotherham Titans,20-23,Bristol Shoguns,Clifton Lane,2000-2001,20,23,Sun 20 Aug 2001
319,319,Sun 20 Aug,15:00,Saracens,50-20,Gloucester,Vicarage Road,2000-2001,50,20,Sun 20 Aug 2001
320,320,Sat 26 Aug,14:00,Bristol Shoguns,23-34,Saracens,Memorial Stadium,2000-2001,23,34,Sat 26 Aug 2001
321,321,Sat 26 Aug,15:00,Gloucester,18-19,Sale Sharks,Kingsholm,2000-2001,18,19,Sat 26 Aug 2001
322,322,Sat 26 Aug,15:00,NEC Harlequins,26-13,Rotherham Titans,Twickenham Stoop,2000-2001,26,13,Sat 26 Aug 2001
323,323,Sat 26 Aug,15:00,Northampton Saints,27-10,London Irish,Franklin's Gardens,2000-2001,27,10,Sat 26 Aug 2001
324,324,Sun 27 Aug,14:30,Newcastle Falcons,22-25,Leicester Tigers,Kingston Park,2000-2001,22,25,Sun 27 Aug 2001
325,325,Sun 27 Aug,15:00,London Wasps,12-36,Bath Rugby,Loftus Road,2000-2001,12,36,Sun 27 Aug 2001
326,326,Sat 2 Sep,14:00,Leicester Tigers,33-19,Northampton Saints,Welford Road,2000-2001,33,19,Sat 2 Sep 2000
327,327,Sat 2 Sep,14:15,Bath Rugby,38-22,NEC Harlequins,Recreation Ground,2000-2001,38,22,Sat 2 Sep 2000
328,328,Sat 2 Sep,15:00,London Irish,27-22,Saracens,Madejski Stadium,2000-2001,27,22,Sat 2 Sep 2000
329,329,Sat 2 Sep,15:00,Rotherham Titans,23-29,Gloucester,Clifton Lane,2000-2001,23,29,Sat 2 Sep 2000
330,330,Sat 2 Sep,15:00,Sale Sharks,13-27,Newcastle Falcons,Heywood Road,2000-2001,13,27,Sat 2 Sep 2000
331,331,Sun 3 Sep,15:00,London Wasps,23-17,Bristol Shoguns,Loftus Road,2000-2001,23,17,Sun 3 Sep 2000
332,332,Wed 6 Sep,19:30,Bristol Shoguns,13-36,Sale Sharks,Memorial Stadium,2000-2001,13,36,Wed 6 Sep 2000
333,333,Wed 6 Sep,19:30,Newcastle Falcons,18-19,Gloucester,Kingston Park,2000-2001,18,19,Wed 6 Sep 2000
334,334,Wed 6 Sep,19:30,Northampton Saints,27-20,NEC Harlequins,Franklin's Gardens,2000-2001,27,20,Wed 6 Sep 2000
335,335,Wed 6 Sep,19:45,Leicester Tigers,26-18,Rotherham Titans,Welford Road,2000-2001,26,18,Wed 6 Sep 2000
336,336,Wed 6 Sep,19:45,Saracens,24-30,London Wasps,Vicarage Road,2000-2001,24,30,Wed 6 Sep 2000
337,337,Sat 9 Sep,14:00,Gloucester,21-22,Bath Rugby,Kingsholm,2000-2001,21,22,Sat 9 Sep 2000
338,338,Sat 9 Sep,15:00,NEC Harlequins,18-31,London Wasps,Twickenham Stoop,2000-2001,18,31,Sat 9 Sep 2000
339,339,Sat 9 Sep,15:00,Sale Sharks,34-23,Northampton Saints,Heywood Road,2000-2001,34,23,Sat 9 Sep 2000
340,340,Sun 10 Sep,14:30,Newcastle Falcons,34-19,Rotherham Titans,Kingston Park,2000-2001,34,19,Sun 10 Sep 2000
341,341,Sun 10 Sep,15:00,Bristol Shoguns,26-30,London Irish,Memorial Stadium,2000-2001,26,30,Sun 10 Sep 2000
342,342,Sun 10 Sep,15:00,Saracens,17-9,Leicester Tigers,Vicarage Road,2000-2001,17,9,Sun 10 Sep 2000
343,343,Sat 16 Sep,14:15,Bath Rugby,19-12,Newcastle Falcons,Recreation Ground,2000-2001,19,12,Sat 16 Sep 2000
344,344,Sat 16 Sep,14:15,NEC Harlequins,31-25,Bristol Shoguns,Twickenham Stoop,2000-2001,31,25,Sat 16 Sep 2000
345,345,Sat 16 Sep,15:00,Leicester Tigers,33-20,London Irish,Welford Road,2000-2001,33,20,Sat 16 Sep 2000
346,346,Sat 16 Sep,15:00,Rotherham Titans,19-32,Northampton Saints,Clifton Lane,2000-2001,19,32,Sat 16 Sep 2000
347,347,Sat 16 Sep,15:00,Sale Sharks,6-51,Saracens,Heywood Road,2000-2001,6,51,Sat 16 Sep 2000
348,348,Sun 17 Sep,15:00,London Wasps,43-23,Gloucester,Loftus Road,2000-2001,43,23,Sun 17 Sep 2000
349,349,Sat 23 Sep,14:15,Newcastle Falcons,59-21,London Wasps,Kingston Park,2000-2001,59,21,Sat 23 Sep 2000
350,350,Sat 23 Sep,15:00,Bristol Shoguns,24-20,Leicester Tigers,Memorial Stadium,2000-2001,24,20,Sat 23 Sep 2000
351,351,Sat 23 Sep,15:00,Gloucester,27-23,NEC Harlequins,Kingsholm,2000-2001,27,23,Sat 23 Sep 2000
352,352,Sat 23 Sep,15:00,Northampton Saints,24-13,Bath Rugby,Franklin's Gardens,2000-2001,24,13,Sat 23 Sep 2000
353,353,Sun 24 Sep,15:00,London Irish,28-13,Sale Sharks,Madejski Stadium,2000-2001,28,13,Sun 24 Sep 2000
354,354,Sun 24 Sep,15:00,Saracens,59-5,Rotherham Titans,Vicarage Road,2000-2001,59,5,Sun 24 Sep 2000
355,355,Sat 30 Sep,14:15,Bath Rugby,21-33,Saracens,Recreation Ground,2000-2001,21,33,Sat 30 Sep 2000
356,356,Sat 30 Sep,15:00,Gloucester,38-16,Bristol Shoguns,Kingsholm,2000-2001,38,16,Sat 30 Sep 2000
357,357,Sat 30 Sep,15:00,NEC Harlequins,18-20,Newcastle Falcons,Twickenham Stoop,2000-2001,18,20,Sat 30 Sep 2000
358,358,Sat 30 Sep,15:00,Rotherham Titans,19-18,London Irish,Clifton Lane,2000-2001,19,18,Sat 30 Sep 2000
359,359,Sat 30 Sep,15:00,Sale Sharks,17-17,Leicester Tigers,Heywood Road,2000-2001,17,17,Sat 30 Sep 2000
360,360,Sun 1 Oct,15:00,London Wasps,53-17,Northampton Saints,Loftus Road,2000-2001,53,17,Sun 1 Oct 2000
361,361,Sat 18 Nov,12:30,Bristol Shoguns,32-21,Rotherham Titans,Memorial Stadium,2000-2001,32,21,Sat 18 Nov 2000
362,362,Sat 18 Nov,12:30,Gloucester,16-15,Saracens,Kingsholm,2000-2001,16,15,Sat 18 Nov 2000
363,363,Sat 18 Nov,13:00,Leicester Tigers,28-13,London Wasps,Welford Road,2000-2001,28,13,Sat 18 Nov 2000
364,364,Sat 18 Nov,13:00,Northampton Saints,26-18,Newcastle Falcons,Franklin's Gardens,2000-2001,26,18,Sat 18 Nov 2000
365,365,Sun 19 Nov,14:15,Bath Rugby,34-32,Sale Sharks,Recreation Ground,2000-2001,34,32,Sun 19 Nov 2000
366,366,Sun 19 Nov,15:00,London Irish,21-16,NEC Harlequins,Madejski Stadium,2000-2001,21,16,Sun 19 Nov 2000
367,367,Fri 24 Nov,20:00,NEC Harlequins,13-16,Leicester Tigers,Twickenham Stoop,2000-2001,13,16,Fri 24 Nov 2000
368,368,Sat 25 Nov,12:30,Gloucester,26-6,London Irish,Kingsholm,2000-2001,26,6,Sat 25 Nov 2000
369,369,Sat 25 Nov,13:00,Northampton Saints,24-6,Bristol Shoguns,Franklin's Gardens,2000-2001,24,6,Sat 25 Nov 2000
370,370,Sun 26 Nov,14:15,Bath Rugby,42-19,Rotherham Titans,Recreation Ground,2000-2001,42,19,Sun 26 Nov 2000
371,371,Sun 26 Nov,14:30,Newcastle Falcons,32-27,Saracens,Kingston Park,2000-2001,32,27,Sun 26 Nov 2000
372,372,Sun 26 Nov,15:00,London Wasps,33-24,Sale Sharks,Loftus Road,2000-2001,33,24,Sun 26 Nov 2000
373,373,Sat 2 Dec,12:30,Bristol Shoguns,16-9,Bath Rugby,Memorial Stadium,2000-2001,16,9,Sat 2 Dec 2000
374,374,Sat 2 Dec,13:00,Leicester Tigers,31-28,Gloucester,Welford Road,2000-2001,31,28,Sat 2 Dec 2000
375,375,Sat 2 Dec,13:00,Rotherham Titans,15-30,London Wasps,Clifton Lane,2000-2001,15,30,Sat 2 Dec 2000
376,376,Sat 2 Dec,13:00,Sale Sharks,35-10,NEC Harlequins,Heywood Road,2000-2001,35,10,Sat 2 Dec 2000
377,377,Sun 3 Dec,15:00,Saracens,10-30,Northampton Saints,Vicarage Road,2000-2001,10,30,Sun 3 Dec 2000
378,378,Tue 5 Dec,20:00,London Irish,19-17,Newcastle Falcons,Madejski Stadium,2000-2001,19,17,Tue 5 Dec 2000
379,379,Sat 16 Dec,14:00,Northampton Saints,34-15,Gloucester,Franklin's Gardens,2000-2001,34,15,Sat 16 Dec 2000
380,380,Sat 16 Dec,15:00,Leicester Tigers,27-19,Bath Rugby,Welford Road,2000-2001,27,19,Sat 16 Dec 2000
381,381,Sat 16 Dec,15:00,London Irish,14-13,London Wasps,Madejski Stadium,2000-2001,14,13,Sat 16 Dec 2000
382,382,Sat 16 Dec,15:00,Sale Sharks,45-12,Rotherham Titans,Heywood Road,2000-2001,45,12,Sat 16 Dec 2000
383,383,Sun 17 Dec,15:00,Bristol Shoguns,27-14,Newcastle Falcons,Memorial Stadium,2000-2001,27,14,Sun 17 Dec 2000
384,384,Sun 17 Dec,15:00,Saracens,26-18,NEC Harlequins,Vicarage Road,2000-2001,26,18,Sun 17 Dec 2000
385,385,Sat 23 Dec,14:00,Sale Sharks,25-26,Bristol Shoguns,Heywood Road,2000-2001,25,26,Sat 23 Dec 2000
386,386,Sat 23 Dec,14:15,Bath Rugby,56-20,London Irish,Recreation Ground,2000-2001,56,20,Sat 23 Dec 2000
387,387,Sat 23 Dec,14:15,Rotherham Titans,9-27,Leicester Tigers,Clifton Lane,2000-2001,9,27,Sat 23 Dec 2000
388,388,Sat 23 Dec,15:00,Gloucester,28-13,Newcastle Falcons,Kingsholm,2000-2001,28,13,Sat 23 Dec 2000
389,389,Sat 23 Dec,15:00,London Wasps,25-6,Saracens,Loftus Road,2000-2001,25,6,Sat 23 Dec 2000
390,390,Sat 23 Dec,15:00,NEC Harlequins,25-34,Northampton Saints,Twickenham Stoop,2000-2001,25,34,Sat 23 Dec 2000
391,391,Tue 26 Dec,14:15,Bath Rugby,16-17,Leicester Tigers,Recreation Ground,2000-2001,16,17,Tue 26 Dec 2000
392,392,Wed 27 Dec,14:30,Newcastle Falcons,23-15,Bristol Shoguns,Kingston Park,2000-2001,23,15,Wed 27 Dec 2000
393,393,Wed 27 Dec,15:00,NEC Harlequins,14-30,Saracens,Twickenham Stoop,2000-2001,14,30,Wed 27 Dec 2000
394,394,Wed 27 Dec,19:30,Gloucester,12-15,Northampton Saints,Kingsholm,2000-2001,12,15,Wed 27 Dec 2000
395,395,Wed 27 Dec,19:45,London Wasps,29-16,London Irish,Loftus Road,2000-2001,29,16,Wed 27 Dec 2000
396,396,Sat 30 Dec,15:00,Northampton Saints,18-21,London Wasps,Franklin's Gardens,2000-2001,18,21,Sat 30 Dec 2000
397,397,Sat 30 Dec,15:00,Saracens,11-31,Bath Rugby,Vicarage Road,2000-2001,11,31,Sat 30 Dec 2000
398,398,Sat 6 Jan,14:15,Bath Rugby,36-13,Northampton Saints,Recreation Ground,2000-2001,36,13,Sat 6 Jan 2001
399,399,Sat 6 Jan,14:15,Rotherham Titans,19-8,Saracens,Clifton Lane,2000-2001,19,8,Sat 6 Jan 2001
400,400,Sat 6 Jan,15:00,Bristol Shoguns,18-9,Gloucester,Memorial Stadium,2000-2001,18,9,Sat 6 Jan 2001
401,401,Tue 6 Feb,19:45,Leicester Tigers,17-10,Bristol Shoguns,Welford Road,2000-2001,17,10,Tue 6 Feb 2001
402,402,Tue 6 Feb,20:00,NEC Harlequins,21-19,Gloucester,Twickenham Stoop,2000-2001,21,19,Tue 6 Feb 2001
403,403,Sat 10 Feb,14:00,Northampton Saints,42-0,Rotherham Titans,Franklin's Gardens,2000-2001,42,0,Sat 10 Feb 2001
404,404,Sat 10 Feb,15:00,Gloucester,3-28,London Wasps,Kingsholm,2000-2001,3,28,Sat 10 Feb 2001
405,405,Sat 10 Feb,15:00,London Irish,9-28,Leicester Tigers,Madejski Stadium,2000-2001,9,28,Sat 10 Feb 2001
406,406,Sun 11 Feb,14:30,Newcastle Falcons,24-23,Bath Rugby,Kingston Park,2000-2001,24,23,Sun 11 Feb 2001
407,407,Sun 11 Feb,15:00,Bristol Shoguns,13-9,NEC Harlequins,Memorial Stadium,2000-2001,13,9,Sun 11 Feb 2001
408,408,Sun 11 Feb,15:00,Saracens,44-30,Sale Sharks,Vicarage Road,2000-2001,44,30,Sun 11 Feb 2001
409,409,Tue 20 Feb,20:00,London Irish,54-11,Rotherham Titans,Madejski Stadium,2000-2001,54,11,Tue 20 Feb 2001
410,410,Sat 24 Feb,14:15,Bath Rugby,50-16,Gloucester,Recreation Ground,2000-2001,50,16,Sat 24 Feb 2001
411,411,Sat 24 Feb,15:00,Leicester Tigers,56-15,Saracens,Welford Road,2000-2001,56,15,Sat 24 Feb 2001
